172.17.0.1 - - [09/Dec/2019:03:31:26 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.410"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:31:26 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:32:23 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.500"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:32:24 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:33:36 +0000] "GET / HTTP/1.1" 500 98226 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.310"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:33:36 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:33:38 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.400"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:33:38 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:35:57 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.380"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:35:58 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:36:54 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.360"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:36:54 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:37:14 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.310"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:37:14 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:37:33 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.330"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:37:33 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:44:13 +0000] "GET / HTTP/1.1" 500 98226 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.310"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:44:13 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:44:21 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.460"/work/aplum_www/web" "/index.php"
